Loan Number,Country / Economy,Region,Loan Type,Loan Status,Board Approval Date,Original Principal Amount (US$),Cancelled Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Agreement Signing Date,Effective Date (Most Recent),Last Disbursement Date
LOAN-1300,Pakistan,Latin America,Health,Disbursing&Repaying,2006-08-19,30392160.88,0.0,14062295.34,8645680.89,6122180.47,2006-06-04,2007-02-28,2008-12-14
LOAN-1301,Kenya,East Asia,Education,Disbursing,2023-06-10,336036701.36,0.0,282823056.15,218045761.87,147777560.76,2023-05-03,2024-02-07,2027-08-13
LOAN-1302,Morocco,Europe & Central Asia,Infrastructure,Cancelled,2004-07-12,354820809.3,255643127.8,354820809.3,300066631.32,263878860.97,2004-04-05,2005-03-09,2011-04-10
LOAN-1303,Bangladesh,East Asia,Investment,Cancelled,2018-01-07,345353827.68,151083889.05,268836298.68,41664183.8,121644140.63,2017-10-05,2019-01-25,2024-03-02
LOAN-1304,Brazil,East Asia,Infrastructure,Effective,2013-12-12,552896814.83,0.0,552896814.83,10068029.69,366592396.68,2013-07-30,2015-01-02,2016-12-20
LOAN-1305,Philippines,Latin America,Health,Disbursing&Repaying,2018-09-11,183785866.27,0.0,182863061.51,127387494.1,53417589.28,2018-03-20,2018-11-25,2023-09-24
LOAN-1306,Egypt,Latin America,Health,Effective,2002-07-09,548492519.22,0.0,398060925.27,173560254.39,239897499.02,2002-05-20,2002-09-10,2010-04-26
LOAN-1307,Peru,East Asia,Investment,Repaying,2009-01-01,85711643.51,0.0,85711643.51,67832137.43,6146477.91,2008-10-20,2009-02-16,2020-01-23
LOAN-1308,Brazil,Africa,Climate,Disbursing&Repaying,2005-07-22,424257197.41,0.0,262692419.49,194695974.2,181940485.0,2005-07-05,2005-12-22,2014-09-24
LOAN-1309,Tanzania,Europe & Central Asia,Infrastructure,Effective,2007-05-03,270431542.4,0.0,270431542.4,115507818.38,125345098.45,2006-10-29,2007-07-18,2014-07-20
LOAN-1310,India,East Asia,Climate,Repaying,2010-02-05,34542370.49,0.0,34542370.49,24243463.3,7279422.56,2009-12-05,2010-07-22,2020-02-07
LOAN-1311,Peru,South Asia,Health,Repaying,2007-10-08,519454808.42,0.0,519454808.42,318934737.76,210676795.61,2007-09-26,2008-02-29,2014-04-01
LOAN-1312,Nepal,Africa,Climate,Fully Repaid,2013-07-21,257165046.39,0.0,180319080.28,56591029.89,61462197.14,2013-02-28,2014-07-05,2023-04-13
LOAN-1313,Indonesia,South Asia,Infrastructure,Disbursing&Repaying,2012-09-05,309350661.89,0.0,287660342.88,218321415.2,102293701.8,2012-03-04,2012-11-29,2024-04-21
LOAN-1314,Kenya,Africa,Agriculture,Disbursing&Repaying,2013-05-27,593074774.66,0.0,541166377.39,419589259.61,145813471.41,2013-04-09,2014-03-17,2019-08-12
LOAN-1315,Brazil,Europe & Central Asia,Infrastructure,Fully Repaid,2013-04-05,245438563.62,0.0,160926357.08,20266511.46,16957707.07,2012-12-09,2013-11-28,2022-10-15
LOAN-1316,Brazil,Europe & Central Asia,Climate,Repaying,2023-12-25,426301030.83,0.0,365610235.78,62491433.92,253611772.54,2023-08-16,2025-01-01,2032-11-03
LOAN-1317,Peru,Africa,Agriculture,Disbursing,2021-02-12,508024450.33,0.0,508024450.33,400752702.93,94417305.96,2020-07-28,2021-07-24,2034-06-23
LOAN-1318,Mexico,Africa,Infrastructure,Fully Repaid,2014-11-11,394388613.39,0.0,227878848.74,45802539.47,277481642.95,2014-08-27,2015-10-06,2022-04-11
LOAN-1319,Egypt,South Asia,Agriculture,Disbursing,2021-03-07,284969257.76,0.0,284969257.76,149670743.61,216071025.78,2020-10-20,2021-06-06,2030-07-24
LOAN-1320,Peru,Africa,Health,Effective,2018-05-10,250798816.14,0.0,250798816.14,34033551.33,199199690.83,2018-01-03,2018-08-21,2026-04-09
LOAN-1321,Mexico,South Asia,Infrastructure,Disbursing,2020-04-11,295110603.22,0.0,267023810.95,42494660.57,155191060.31,2020-02-08,2020-08-05,2024-08-25
LOAN-1322,Tanzania,South Asia,Investment,Fully Repaid,2017-03-12,81996544.75,0.0,61248887.81,23670781.16,30483780.53,2017-02-21,2018-01-09,2022-06-27
LOAN-1323,Ghana,South Asia,Agriculture,Disbursing,2011-02-28,535743803.36,0.0,535743803.36,256048253.99,33986030.13,2010-08-25,2011-09-22,2018-12-24
LOAN-1324,Morocco,South Asia,Education,Effective,2013-01-16,233212533.4,0.0,203113319.38,30531622.18,155758656.66,2012-07-04,2013-11-08,2025-08-14
LOAN-1325,Vietnam,East Asia,Agriculture,Effective,2008-06-14,533344556.08,0.0,533344556.08,164515224.61,387228325.27,2008-02-22,2008-07-23,2014-05-25
LOAN-1326,Philippines,Latin America,Education,Disbursing&Repaying,2001-09-04,130658186.35,0.0,54553793.25,24776707.14,18602000.19,2001-03-15,2002-02-11,2014-06-28
LOAN-1327,Brazil,Europe & Central Asia,Education,Disbursing&Repaying,2005-03-12,596834739.03,0.0,554803209.18,326341270.89,38678666.0,2004-11-09,2005-10-22,2008-10-14
LOAN-1328,Jordan,Africa,Climate,Effective,2018-11-17,287265821.31,0.0,150096873.81,93911535.25,150163469.67,2018-10-13,2019-11-21,2031-05-15
LOAN-1329,Nigeria,Europe & Central Asia,Infrastructure,Disbursing&Repaying,2005-04-12,365352430.47,0.0,186231393.38,139224252.19,47015625.11,2005-03-04,2005-07-05,2017-04-06
LOAN-1330,Pakistan,Europe & Central Asia,Infrastructure,Disbursing&Repaying,2018-05-19,123850884.76,0.0,75597977.21,35593908.77,24925596.5,2018-03-29,2018-07-08,2031-06-30
LOAN-1331,Tanzania,Latin America,Health,Disbursing,2004-12-14,414481329.7,0.0,325173515.99,68629411.67,24687358.08,2004-06-16,2005-09-22,2009-02-12
LOAN-1332,Kenya,Europe & Central Asia,Infrastructure,Fully Repaid,2013-04-12,49653687.11,0.0,48604057.75,39578354.49,26477957.44,2012-12-05,2013-06-06,2016-05-03
LOAN-1333,Mexico,South Asia,Investment,Disbursing,2004-04-05,512087968.01,0.0,352404463.5,214645991.96,189214663.11,2004-03-24,2004-07-14,2008-11-26
LOAN-1334,Vietnam,Africa,Agriculture,Effective,2015-05-17,537243932.34,0.0,537243932.34,129732836.74,322239425.84,2015-04-08,2016-01-07,2025-03-03
LOAN-1335,Egypt,Africa,Agriculture,Repaying,2005-01-26,502246465.49,0.0,478099432.26,205783801.4,183975324.3,2004-07-22,2005-03-27,2009-06-19
LOAN-1336,Indonesia,East Asia,Infrastructure,Cancelled,2017-01-12,547179922.96,310149816.25,430159959.21,220263014.79,207174413.56,2016-07-11,2017-04-18,2028-09-08
LOAN-1337,Tanzania,South Asia,Climate,Disbursing,2023-07-17,533118387.2,0.0,401198404.47,22869288.72,288539758.88,2023-02-10,2024-08-20,2037-01-12
LOAN-1338,Philippines,Africa,Education,Disbursing&Repaying,2011-02-24,313864309.01,0.0,298357313.89,166010518.96,117584847.41,2010-11-18,2012-02-28,2020-08-07
LOAN-1339,Morocco,Europe & Central Asia,Education,Cancelled,2021-01-18,535776819.57,386643010.07,477018823.54,4999338.85,402249751.93,2020-12-20,2021-10-26,2029-01-22
LOAN-1340,Philippines,Africa,Investment,Fully Repaid,2010-07-17,582236304.03,0.0,256347332.76,51381200.88,310033836.98,2010-03-12,2011-03-31,2024-03-19
LOAN-1341,Egypt,South Asia,Investment,Disbursing&Repaying,2000-10-18,514670588.39,0.0,389942485.21,41659960.41,217721104.69,2000-06-27,2001-06-16,2002-06-03
LOAN-1342,Jordan,Europe & Central Asia,Health,Effective,2022-10-20,5100980.71,0.0,2411317.43,1311233.3,2623432.42,2022-08-19,2023-10-20,2033-11-08
LOAN-1343,Vietnam,Africa,Climate,Cancelled,2021-03-22,496060039.42,294808642.08,496060039.42,376948928.13,148311767.26,2020-09-10,2021-12-08,2024-08-07
LOAN-1344,Indonesia,Latin America,Infrastructure,Cancelled,2023-06-01,6307183.94,3918386.16,4314815.06,2460717.73,4099256.67,2023-05-11,2023-09-23,2035-04-12
LOAN-1345,Morocco,East Asia,Education,Fully Repaid,2009-09-02,68642095.78,0.0,61000954.67,10296293.83,51321099.96,2009-07-06,2010-10-03,2018-01-26
LOAN-1346,Indonesia,East Asia,Climate,Fully Repaid,2020-07-07,32667715.34,0.0,29616301.6,17915718.11,4652352.84,2020-01-29,2021-04-21,2024-05-09
LOAN-1347,Tanzania,South Asia,Agriculture,Fully Repaid,2022-10-20,320566786.77,0.0,140683069.55,118423835.93,217700778.31,2022-04-16,2023-09-11,2027-07-08
LOAN-1348,Morocco,South Asia,Health,Fully Repaid,2018-10-12,235506319.64,0.0,207348434.55,164723044.94,100816155.16,2018-04-08,2019-03-18,2025-09-26
LOAN-1349,Bangladesh,Africa,Infrastructure,Disbursing&Repaying,2022-12-24,582442531.7,0.0,443982292.29,53293258.14,209422515.18,2022-06-18,2023-10-30,2030-11-03
LOAN-1350,Jordan,Latin America,Climate,Disbursing&Repaying,2005-12-13,124529003.98,0.0,111993176.16,29288628.56,38475749.48,2005-06-20,2006-04-13,2018-01-26
LOAN-1351,Jordan,Africa,Climate,Disbursing&Repaying,2018-09-22,427659872.65,0.0,427659872.65,216418215.26,208315135.39,2018-04-29,2019-03-17,2029-01-07
LOAN-1352,India,Europe & Central Asia,Infrastructure,Effective,2007-03-21,68349927.18,0.0,48165937.43,2300332.9,6319195.51,2006-09-18,2007-08-26,2011-04-28
LOAN-1353,Brazil,Africa,Climate,Cancelled,2010-01-23,126380537.48,74346089.41,105267110.41,33981717.36,49218379.43,2009-10-06,2010-06-23,2022-05-05
LOAN-1354,Nepal,South Asia,Investment,Effective,2002-05-31,556258462.65,0.0,394967827.49,340079848.79,434920158.52,2001-11-12,2002-11-05,2007-10-15
LOAN-1355,Egypt,Latin America,Climate,Cancelled,2008-10-23,547334394.36,426140270.67,527467937.48,307444786.79,337339033.6,2008-07-30,2009-07-09,2013-08-11
LOAN-1356,Kenya,Latin America,Agriculture,Effective,2011-11-08,577672773.14,0.0,570777433.39,61312015.86,46488606.19,2011-09-18,2012-10-02,2018-05-24
LOAN-1357,India,Africa,Climate,Cancelled,2002-04-13,282467146.23,160826964.81,282467146.23,10153713.86,210853583.63,2001-10-16,2002-10-14,2014-02-07
LOAN-1358,Jordan,Africa,Health,Cancelled,2003-01-22,48364073.31,14297498.37,46726719.66,22094989.21,37131071.76,2002-08-26,2003-11-22,2012-12-04
LOAN-1359,Kenya,Africa,Education,Repaying,2023-10-18,136612858.26,0.0,77962642.37,23287064.2,43797859.47,2023-05-18,2024-10-14,2024-10-24
LOAN-1360,Indonesia,Africa,Education,Disbursing,2014-05-25,270172011.54,0.0,270172011.54,149224373.89,139367900.71,2014-04-16,2015-01-07,2020-12-20
LOAN-1361,Jordan,Africa,Education,Cancelled,2019-12-27,19699909.18,4458306.08,16025763.0,11112983.46,8583876.82,2019-07-04,2020-05-03,2027-12-29
LOAN-1362,Peru,South Asia,Agriculture,Disbursing,2002-12-08,569186032.69,0.0,303897442.96,261548904.52,258115121.43,2002-06-10,2003-11-25,2008-07-15
LOAN-1363,Colombia,South Asia,Climate,Fully Repaid,2003-03-27,127319842.95,0.0,127319842.95,100681158.92,77159806.9,2002-09-23,2003-07-13,2004-08-02
LOAN-1364,Egypt,Africa,Infrastructure,Disbursing,2010-03-18,27542357.27,0.0,12630881.62,2023378.15,6580722.99,2009-11-24,2010-11-01,2021-02-23
LOAN-1365,Bangladesh,East Asia,Climate,Disbursing&Repaying,2002-11-02,193260526.32,0.0,137524479.22,14642944.43,10518048.69,2002-05-27,2002-12-25,2005-04-14
LOAN-1366,Ghana,Europe & Central Asia,Education,Fully Repaid,2017-02-09,68150647.41,0.0,68150647.41,18483521.38,7829072.5,2016-08-14,2017-03-26,2028-07-23
LOAN-1367,Mexico,Europe & Central Asia,Infrastructure,Effective,2006-06-18,135820106.65,0.0,135467399.39,97142777.12,93322073.86,2005-12-17,2007-06-14,2015-08-26
LOAN-1368,India,Europe & Central Asia,Health,Fully Repaid,2024-02-04,525486321.94,0.0,269626555.16,10136833.17,251991157.07,2024-01-04,2024-08-08,2029-08-16
LOAN-1369,Ghana,Latin America,Agriculture,Repaying,2011-05-03,250529425.14,0.0,229671648.67,105946940.15,42769323.26,2011-03-25,2011-09-02,2024-11-17
LOAN-1370,Brazil,Europe & Central Asia,Climate,Disbursing,2008-11-08,279452796.2,0.0,234665368.19,61385503.72,28091173.0,2008-06-03,2009-08-14,2017-02-04
LOAN-1371,Ghana,Latin America,Education,Repaying,2014-04-03,404420861.64,0.0,237648326.07,60986128.45,41395170.06,2013-11-29,2014-10-18,2021-12-06
LOAN-1372,Morocco,Europe & Central Asia,Agriculture,Effective,2011-01-16,342282826.32,0.0,342282826.32,295319236.75,60405947.63,2010-07-08,2012-01-09,2021-08-23
LOAN-1373,Nigeria,Africa,Education,Effective,2013-09-13,84911970.27,0.0,83755319.5,66174847.32,33721624.17,2013-04-15,2013-12-07,2018-06-18
LOAN-1374,Kenya,Africa,Climate,Disbursing&Repaying,2003-06-06,515934624.95,0.0,264159216.73,128052826.91,127655634.29,2003-05-08,2003-07-15,2015-08-16
LOAN-1375,India,Europe & Central Asia,Health,Effective,2024-05-18,349445968.43,0.0,349445968.43,66913527.62,27079348.05,2024-01-09,2025-05-17,2028-07-13
LOAN-1376,Ghana,East Asia,Health,Fully Repaid,2022-06-24,137867455.34,0.0,137867455.34,90979305.17,36982858.06,2022-05-22,2023-02-12,2031-06-17
LOAN-1377,Peru,South Asia,Agriculture,Repaying,2023-01-23,399293701.18,0.0,399293701.18,289841728.03,203850208.36,2022-09-21,2023-05-14,2027-11-25
LOAN-1378,Morocco,East Asia,Agriculture,Effective,2016-07-27,563809278.67,0.0,243754969.84,167051408.85,126187525.11,2016-07-07,2017-08-03,2022-01-10
LOAN-1379,Peru,Africa,Investment,Disbursing&Repaying,2014-07-15,235915400.42,0.0,235915400.42,187174519.8,18856369.73,2014-01-06,2015-05-07,2021-06-28
LOAN-1380,Nigeria,Europe & Central Asia,Health,Disbursing&Repaying,2003-06-29,328888286.94,0.0,177297049.43,104305233.87,106550788.0,2003-04-16,2004-02-06,2009-04-23
LOAN-1381,Peru,East Asia,Health,Cancelled,2000-04-18,214974314.62,156763687.06,214974314.62,94196457.67,88479680.31,1999-12-18,2000-08-10,2006-04-11
LOAN-1382,Kenya,Europe & Central Asia,Climate,Disbursing&Repaying,2005-04-22,387868816.42,0.0,220780237.64,37138571.57,124764679.31,2005-02-13,2005-12-20,2013-07-14
LOAN-1383,Indonesia,East Asia,Agriculture,Fully Repaid,2001-01-02,406761508.66,0.0,318582500.33,169394077.55,217798182.36,2000-12-12,2001-04-07,2014-09-09
LOAN-1384,Mexico,Latin America,Health,Effective,2008-01-28,379576552.81,0.0,163731367.95,84328591.68,34895991.99,2007-10-07,2008-12-29,2021-07-15
LOAN-1385,India,Africa,Agriculture,Fully Repaid,2007-08-26,568616051.83,0.0,325973216.04,177940077.8,229470745.73,2007-05-03,2008-07-28,2011-09-03
LOAN-1386,Mexico,Europe & Central Asia,Agriculture,Fully Repaid,2003-02-01,397491006.28,0.0,243112081.43,158452703.84,122031112.63,2002-10-18,2003-09-16,2006-11-15
LOAN-1387,Indonesia,South Asia,Agriculture,Repaying,2004-04-26,125397386.71,0.0,125397386.71,56920829.88,45750767.49,2003-12-17,2005-04-05,2006-01-05
LOAN-1388,Jordan,Europe & Central Asia,Climate,Cancelled,2000-01-20,452667974.87,266865443.82,214814480.42,127482373.05,328858108.29,1999-08-30,2000-09-21,2009-03-07
LOAN-1389,Brazil,Europe & Central Asia,Education,Effective,2004-05-19,260228977.36,0.0,260228977.36,112916242.62,163034431.2,2004-04-05,2004-10-26,2015-11-26
LOAN-1390,Philippines,South Asia,Health,Disbursing&Repaying,2000-04-26,173543667.47,0.0,173543667.47,63826243.05,33279733.33,1999-12-05,2000-07-25,2012-10-17
LOAN-1391,India,East Asia,Climate,Repaying,2019-02-10,394454941.88,0.0,374816367.3,106564619.79,126897078.75,2018-09-04,2019-07-19,2025-10-16
LOAN-1392,Jordan,East Asia,Health,Repaying,2018-07-15,340978791.4,0.0,303302183.54,270733233.16,118691515.89,2018-02-13,2019-04-18,2023-05-14
LOAN-1393,Ghana,Europe & Central Asia,Climate,Disbursing&Repaying,2017-11-09,335172257.0,0.0,202116283.76,55781624.05,103322622.62,2017-09-25,2018-11-11,2021-05-07
LOAN-1394,Philippines,East Asia,Agriculture,Effective,2002-05-02,470950009.91,0.0,470950009.91,42503594.34,203100797.99,2002-01-13,2003-04-22,2003-04-10
LOAN-1395,Kenya,Latin America,Health,Effective,2003-08-04,285642852.75,0.0,251421797.37,19944441.48,70644904.26,2003-07-16,2004-09-07,2013-01-11
LOAN-1396,Bangladesh,Europe & Central Asia,Education,Repaying,2022-03-05,395424261.76,0.0,248791212.96,215745977.87,36812921.61,2022-02-21,2022-07-16,2034-08-13
LOAN-1397,Nepal,Latin America,Infrastructure,Repaying,2001-08-13,24997564.08,0.0,21988155.59,10207611.35,5593285.7,2001-06-03,2002-08-13,2002-06-11
LOAN-1398,Mexico,South Asia,Health,Cancelled,2008-12-25,598106200.58,125135727.55,598106200.58,190087060.54,207158471.35,2008-06-18,2009-02-28,2011-10-29
LOAN-1399,Jordan,Africa,Health,Effective,2010-02-24,437052532.28,0.0,370310718.01,194279509.11,135751277.23,2009-12-27,2010-11-13,2020-01-12
LOAN-1400,India,Africa,Health,Effective,2005-04-01,109145698.15,0.0,87861247.62,44173792.25,46646347.36,2005-01-16,2006-01-31,2011-09-06
LOAN-1401,Egypt,East Asia,Health,Fully Repaid,2020-08-31,340085319.26,0.0,340085319.26,231844989.58,262181650.05,2020-08-14,2021-06-03,2024-02-04
LOAN-1402,Nigeria,South Asia,Infrastructure,Effective,2018-07-02,232690581.32,0.0,232690581.32,46152801.76,134002335.01,2018-02-10,2019-05-02,2019-07-16
LOAN-1403,Nigeria,Latin America,Education,Cancelled,2008-01-03,175937301.82,68320618.33,126524344.58,85265934.86,53923843.24,2007-10-30,2008-11-21,2014-11-11
LOAN-1404,Mexico,Latin America,Agriculture,Repaying,2010-04-13,301904607.52,0.0,168986041.5,111849521.89,212708966.46,2010-01-30,2011-03-25,2019-02-01
LOAN-1405,Morocco,South Asia,Investment,Disbursing,2024-04-15,76327703.13,0.0,35323702.17,30385509.21,32019368.23,2023-12-04,2024-11-21,2032-03-07
LOAN-1406,Tanzania,Europe & Central Asia,Agriculture,Effective,2017-11-05,521917457.2,0.0,413694887.75,366515142.98,384655839.35,2017-06-01,2018-02-08,2019-11-18
LOAN-1407,Peru,East Asia,Education,Disbursing&Repaying,2007-11-03,289600445.58,0.0,241125488.63,109043622.94,99995469.5,2007-09-24,2008-11-24,2020-04-13
LOAN-1408,Egypt,Africa,Health,Effective,2016-03-21,415080276.69,0.0,169957102.67,32236978.37,201627803.05,2016-01-05,2016-07-24,2029-05-05
LOAN-1409,Nigeria,Latin America,Education,Fully Repaid,2009-06-11,165297896.57,0.0,165297896.57,51041810.86,31065302.45,2008-12-04,2010-01-17,2018-06-14
LOAN-1410,Bangladesh,Africa,Agriculture,Disbursing,2012-02-09,273183749.93,0.0,234153379.62,206369958.74,154214667.49,2011-09-10,2012-10-17,2021-06-21
LOAN-1411,Pakistan,Latin America,Agriculture,Fully Repaid,2022-05-30,481022287.65,0.0,476613050.33,202888609.68,27565808.75,2021-12-10,2023-03-20,2035-03-17
LOAN-1412,Vietnam,East Asia,Investment,Disbursing&Repaying,2007-04-30,183520338.38,0.0,155939206.51,79692897.92,64012155.8,2007-02-24,2007-10-07,2018-11-01
LOAN-1413,Indonesia,East Asia,Investment,Effective,2015-06-09,448032966.18,0.0,272321290.67,88307237.63,209732572.13,2015-02-14,2015-09-09,2024-02-18
LOAN-1414,Pakistan,Europe & Central Asia,Climate,Effective,2014-08-01,347657202.2,0.0,319602921.36,50204809.61,220842918.53,2014-03-14,2015-05-07,2025-06-05
LOAN-1415,Kenya,East Asia,Education,Disbursing&Repaying,2015-02-18,370129944.57,0.0,285370803.38,245685709.15,259532614.27,2014-08-31,2016-01-27,2028-10-09
LOAN-1416,Bangladesh,South Asia,Health,Disbursing&Repaying,2011-12-31,52071596.84,0.0,35143141.02,9915069.92,28106155.9,2011-07-09,2012-08-19,2018-11-26
LOAN-1417,Egypt,Africa,Climate,Disbursing,2005-08-10,449997821.59,0.0,367535069.78,148947185.49,78969478.85,2005-06-01,2006-08-13,2012-01-27
LOAN-1418,Kenya,Latin America,Investment,Cancelled,2002-05-31,104311726.7,69112800.94,50320754.21,2889073.49,73958916.08,2002-01-07,2002-08-11,2005-07-25
LOAN-1419,Nigeria,Europe & Central Asia,Education,Repaying,2012-09-29,97388245.39,0.0,89973702.39,71702219.49,27466211.11,2012-04-12,2013-01-01,2016-07-05
LOAN-1420,Peru,Latin America,Health,Fully Repaid,2020-12-15,21999919.35,0.0,20478389.71,15857071.14,6465798.02,2020-09-27,2021-10-21,2031-10-03
LOAN-1421,Morocco,Europe & Central Asia,Health,Cancelled,2019-07-06,110336800.79,64422558.11,96883143.28,55024080.8,58135175.17,2019-02-10,2020-01-10,2028-02-13
LOAN-1422,Tanzania,Europe & Central Asia,Investment,Repaying,2013-08-13,140141424.57,0.0,66096752.46,18314178.52,50332192.62,2013-08-03,2014-06-06,2017-06-29
LOAN-1423,Ghana,Africa,Investment,Fully Repaid,2013-06-09,284172783.37,0.0,115559910.52,95900807.26,216033303.08,2013-02-09,2013-12-05,2019-06-12
LOAN-1424,India,Europe & Central Asia,Education,Repaying,2017-06-25,227318106.53,0.0,165803257.13,83647564.62,78666626.79,2017-04-20,2017-12-06,2020-01-29
LOAN-1425,Colombia,Latin America,Climate,Effective,2012-10-08,312382986.81,0.0,312382986.81,172402482.9,178196819.06,2012-03-22,2013-08-06,2019-08-15
LOAN-1426,Colombia,Latin America,Infrastructure,Cancelled,2020-04-23,512821803.92,318094933.55,279962624.43,72968274.01,270600441.36,2019-12-10,2020-08-27,2028-04-27
LOAN-1427,India,Latin America,Climate,Effective,2005-08-10,34531082.97,0.0,28590928.76,4784515.76,4375264.89,2005-04-10,2005-09-13,2011-08-26
LOAN-1428,Kenya,Latin America,Education,Fully Repaid,2016-08-28,13761283.89,0.0,7895543.08,2986242.23,8797506.28,2016-02-22,2016-10-13,2024-11-19
LOAN-1429,Kenya,Latin America,Education,Repaying,2011-03-21,38342814.92,0.0,38342814.92,2463381.12,15437203.88,2011-03-08,2011-06-21,2017-08-15
LOAN-1430,Bangladesh,East Asia,Climate,Disbursing,2023-05-18,152061503.71,0.0,152061503.71,27258832.35,91463790.82,2023-03-16,2024-02-14,2032-12-03
LOAN-1431,Nepal,Africa,Education,Disbursing,2011-05-13,99373804.66,0.0,97643673.17,65445879.02,45929077.78,2010-11-21,2011-11-11,2016-08-21
LOAN-1432,Ghana,South Asia,Agriculture,Effective,2000-09-03,518876311.12,0.0,297954655.07,30282804.13,272244917.68,2000-06-15,2001-07-29,2004-03-06
LOAN-1433,Bangladesh,Latin America,Infrastructure,Cancelled,2006-12-14,10313264.25,6832312.74,4471776.67,3153173.67,4191857.29,2006-10-02,2007-04-03,2018-12-26
LOAN-1434,Kenya,Europe & Central Asia,Climate,Effective,2006-11-26,206361147.57,0.0,206361147.57,141069336.57,19612409.06,2006-07-02,2007-02-18,2010-07-18
LOAN-1435,Tanzania,Latin America,Investment,Fully Repaid,2008-08-27,193460037.63,0.0,163798813.11,95033021.71,60067079.0,2008-02-23,2009-04-07,2017-07-05
LOAN-1436,Morocco,Africa,Agriculture,Disbursing&Repaying,2021-12-25,539704511.34,0.0,425417605.04,167508183.58,146279323.51,2021-07-23,2022-04-29,2034-12-30
LOAN-1437,Ghana,Africa,Investment,Cancelled,2007-03-12,440779434.02,228624560.36,273397662.34,204560131.88,324349971.47,2006-11-07,2007-09-09,2013-12-02
LOAN-1438,Jordan,Africa,Health,Disbursing,2016-05-01,275176992.98,0.0,275176992.98,125305134.77,165173148.02,2016-02-20,2016-11-11,2018-07-28
LOAN-1439,Jordan,East Asia,Education,Effective,2014-06-21,117972324.21,0.0,111670165.5,76958687.86,19536055.91,2013-12-29,2015-01-01,2017-10-07
LOAN-1440,Indonesia,Europe & Central Asia,Investment,Disbursing,2009-01-23,397040162.94,0.0,172721130.62,145780016.64,73047091.85,2008-09-11,2009-05-31,2012-02-05
LOAN-1441,Brazil,Europe & Central Asia,Investment,Cancelled,2011-06-25,386842242.54,162401174.92,274998048.04,121251774.73,200375718.11,2011-01-11,2012-07-26,2013-11-21
LOAN-1442,India,Latin America,Infrastructure,Disbursing&Repaying,2002-09-21,395170870.33,0.0,395170870.33,295931581.12,158481047.82,2002-04-22,2003-05-21,2011-10-27
LOAN-1443,Brazil,Europe & Central Asia,Investment,Repaying,2023-04-21,163160302.53,0.0,70570505.51,4470593.3,45346883.73,2023-03-17,2023-09-16,2036-01-18
LOAN-1444,Bangladesh,Latin America,Climate,Cancelled,2018-08-16,119906071.48,31572288.92,110973214.36,56932022.43,91203856.4,2018-02-24,2019-07-07,2027-06-22
LOAN-1445,Egypt,East Asia,Health,Effective,2007-02-04,530280291.53,0.0,282876672.02,45926975.23,186217405.89,2006-08-25,2007-10-18,2015-10-26
LOAN-1446,Vietnam,Europe & Central Asia,Health,Fully Repaid,2014-07-05,594920479.42,0.0,392482894.12,131304195.04,370717721.86,2014-04-25,2015-05-19,2027-07-26
LOAN-1447,Pakistan,East Asia,Investment,Fully Repaid,2017-10-23,460596390.68,0.0,460596390.68,105329281.4,355229822.25,2017-04-11,2017-12-09,2025-01-04
LOAN-1448,India,Europe & Central Asia,Investment,Repaying,2014-02-15,85375997.06,0.0,85375997.06,504738.29,67301541.52,2013-08-13,2014-08-05,2027-05-13
LOAN-1449,Peru,Europe & Central Asia,Infrastructure,Repaying,2006-03-17,344547582.01,0.0,295377011.98,25065225.0,136191856.63,2005-12-04,2007-02-08,2012-08-18
LOAN-1450,Philippines,Africa,Climate,Disbursing&Repaying,2003-06-18,487589170.89,0.0,230885221.86,83076756.57,360041379.14,2003-03-17,2004-03-21,2008-02-28
LOAN-1451,Tanzania,Europe & Central Asia,Investment,Cancelled,2017-02-11,492611582.58,329100569.14,234626582.89,135621006.79,38437839.98,2016-11-08,2017-09-07,2027-09-04
LOAN-1452,Colombia,South Asia,Investment,Disbursing,2017-02-26,522522975.9,0.0,303781344.22,178471923.97,262163480.56,2016-11-30,2017-12-21,2018-11-25
LOAN-1453,Vietnam,Europe & Central Asia,Education,Disbursing&Repaying,2017-08-15,341123171.93,0.0,225641141.98,141700784.05,56250566.99,2017-03-06,2018-07-05,2029-10-05
LOAN-1454,Kenya,Latin America,Health,Fully Repaid,2002-03-18,262001723.74,0.0,262001723.74,34901553.7,79157567.77,2001-11-26,2002-08-29,2004-12-08
LOAN-1455,Bangladesh,Europe & Central Asia,Education,Repaying,2021-11-19,263522211.13,0.0,252532389.67,173194194.79,108226431.38,2021-05-27,2022-10-07,2027-02-07
LOAN-1456,Jordan,Europe & Central Asia,Climate,Fully Repaid,2014-07-04,598261866.33,0.0,490214711.85,106907780.58,149381691.32,2014-01-28,2014-09-17,2017-11-06
LOAN-1457,Colombia,East Asia,Infrastructure,Effective,2007-08-05,222334248.44,0.0,122815614.2,38081734.53,120406756.04,2007-02-19,2008-04-17,2011-09-07
LOAN-1458,Egypt,South Asia,Investment,Disbursing&Repaying,2003-11-06,554906858.11,0.0,325614726.11,200846751.42,92665790.07,2003-04-21,2004-01-02,2010-02-13
LOAN-1459,Morocco,Africa,Agriculture,Disbursing,2014-11-20,13171309.15,0.0,12579076.78,1259796.97,5104490.52,2014-05-05,2015-09-21,2020-06-16
